form	lemma	POS	morph
༄༅། །		PUNCT
སྲོག་	སྲོག་	NOUN
སྩོལ་	སྩོལ་	VERB
ལ་	ལ་	PART
མཁོ་བ་	མཁོ་བ་	VERB
འི་	གི་	PART
ཟིན་བྲིས་	ཟིན་བྲིས་	OTHER
གསུམ་	གསུམ་	NUM
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།།		PUNCT
ན་	ལ་	PART
མཿ་		NON_WORD
ཤྲཱི་		NON_WORD
ཀཱ་	ཀཱ་	NO_POS
ལ་	ལ་	PART
ཙཀྲཱ་		NON_WORD
ཡ་	ཡ་	NOUN
།		PUNCT
འཁོར་བ་	འཁོར་བ་	NOUN
ར་	ལ་	PART
འཁྱམས་པ་	འཁྱམས་པ་	VERB
འི་	གི་	PART
འགྲོ་བ་	འགྲོ་བ་	VERB
རྣམས་	རྣམས་	DET
། །		PUNCT
ཐར་པ་	ཐར་པ་	VERB
འི་	གི་	PART
གྲོང་	གྲོང་	NOUN
དུ་	ལ་	PART
སྡུད་	སྡུད་	VERB
མཛད་པ་	མཛད་པ་	VERB
འི་	གི་	PART
། །		PUNCT
བླ་མ་	བླ་མ་	NOUN
འི་	གི་	PART
ཞབས་པད་	ཞབས་པད་	NOUN
ལ་	ལ་	PART
བཏུད་	བཏུད་	NO_POS
དེ་	སྟེ་	PART
། །		PUNCT
བརྗེད་བྱང་	བརྗེད་བྱང་	OTHER
ཅུང་ཟད་	ཅུང་ཟད་	ADV
བྲི་བ་	བྲི་བ་	VERB
ར་	ལ་	PART
བྱ་	བྱ་	VERB
། །		PUNCT
དེ་	སྟེ་	PART
ལ་	ལ་	PART
འདི་	འདི་	DET
ར་	ལ་	PART
བླ་མ་	བླ་མ་	NOUN
དམ་པ་	དམ་པ་	VERB
འི་	གི་	PART
ཞབས་	ཞབས་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
བྱུང་བ་	བྱུང་བ་	VERB
འི་	གི་	PART
མན་ངག་	མན་ངག་	NOUN
སྦྱོར་བ་	སྦྱོར་བ་	VERB
ཡན་ལག་	ཡན་ལག་	NOUN
དྲུག་	དྲུག་	NUM
གི་	གི་	PART
སྲོག་	སྲོག་	NOUN
རྩོལ་	རྩོལ་	NO_POS
གྱི་	གི་	PART
རྩ་བ་	རྩ་བ་	NOUN
འི་	གི་	PART
རླུང་	རླུང་	NOUN
བཅུ་གཉིས་	བཅུ་གཉིས་	NO_POS
ཡོད་པ་	ཡོད་པ་	VERB
ལ་	ལ་	ADP
ས་	གིས་	PART
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འི་	གི་	PART
བཟླས་པ་	བཟླས་པ་	VERB
ནི་	ནི་	NO_POS
།		PUNCT
ལུས་	ལུས་	NOUN
སྐྱིལ་ཀྲུང་	སྐྱིལ་ཀྲུང་	NOUN
ལག་པ་	ལག་པ་	NOUN
རླུང་	རླུང་	NOUN
དབུ་མ་	དབུ་མ་	PROPN
ར་	ལ་	PART
འཇུག་པ་	འཇུག་པ་	VERB
འི་	གི་	PART
ཕྱག་རྒྱ་	ཕྱག་རྒྱ་	NOUN
ལྡན་པ་	ལྡན་པ་	VERB
ས་	གིས་	PART
ཞི་བ་	ཞི་བ་	VERB
འི་	གི་	PART
ལྟ་སྟངས་	ལྟ་སྟངས་	NOUN
ཀྱིས་	གིས་	PART
རླུང་	རླུང་	NOUN
ནང་	ནང་	NOUN
དུ་	ལ་	PART
འཇུག་པ་	འཇུག་པ་	VERB
གནས་པ་	གནས་པ་	VERB
ཕྱི་	ཕྱི་	OTHER
འགྲོ་བ་	འགྲོ་བ་	VERB
རྣམས་	རྣམས་	DET
།		PUNCT
ཨོཾ་	ཨོཾ་	X
ཨཱཿ་		NON_WORD
ཧཱུྃ་		NON_WORD
ངམ་	གམ་	PART
།		PUNCT
ཨོཾ་	ཨོཾ་	X
ཧཱུྃ་		NON_WORD
ཨཱཿ་		NON_WORD
ཡི་	གི་	PART
རྣམ་པ་	རྣམ་པ་	NOUN
གསལ་བ་	གསལ་བ་	VERB
ར་	ལ་	PART
དམིགས་	དམིགས་	VERB
ཏེ་	སྟེ་	PART
།		PUNCT
འབྱུང་	འབྱུང་	VERB
འཇུག་	འཇུག་	VERB
རིམ་པ་	རིམ་པ་	NOUN
བཞིན་	བཞིན་	NOUN
མ་	མ་	PART
གཡེངས་པ་	གཡེངས་པ་	VERB
ར་	ལ་	PART
བགྲང་བ་	བགྲང་བ་	VERB
འམ་	གམ་	PART
།		PUNCT
ཡི་གེ་	ཡི་གེ་	NOUN
འི་	གི་	PART
རྣམ་པ་	རྣམ་པ་	NOUN
མེད་པ་	མེད་པ་	VERB
ར་	ལ་	PART
འབྱུང་	འབྱུང་	VERB
འཇུག་	འཇུག་	VERB
གནས་པ་	གནས་པ་	VERB
ཉིད་	ཉིད་	DET
ལ་	ལ་	PART
།		PUNCT
ཡིད་	ཡིད་	NOUN
གཏད་	གཏད་	VERB
དེ་	སྟེ་	PART
བཟླས་པ་	བཟླས་པ་	VERB
ནི་	ནི་	NO_POS
།		PUNCT
ཡི་གེ་	ཡི་གེ་	NOUN
ལ་	ལ་	PART
བརྟེན་	བརྟེན་	VERB
དང་	དང་	NO_POS
མ་	མ་	PART
བརྟེན་པ་	བརྟེན་པ་	VERB
འི་	གི་	PART
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འི་	གི་	PART
བཟླས་པ་	བཟླས་པ་	VERB
འོ་	གོ་	PART
། །		PUNCT
དེ་དག་	དེ་དག་	OTHER
ལ་	ལ་	ADP
འང་	ཀྱང་	PART
ཚ་སེལ་	ཚ་སེལ་	NO_POS
།		PUNCT
གྲང་	གྲང་	VERB
སེལ་	སེལ་	VERB
།		PUNCT
ཕུ་	ཕུ་	NOUN
ས་	གིས་	PART
འདེད་	འདེད་	NO_POS
གསུམ་	གསུམ་	NUM
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
དང་པོ་	དང་པོ་	ADJ
ནི་	ནི་	NO_POS
།		PUNCT
སོ་	གོ་	PART
ལ་བ་	ལ་བ་	NOUN
ར་	ལ་	PART
ཡོད་པ་	ཡོད་པ་	VERB
ས་	གིས་	PART
རླུང་	རླུང་	NOUN
ཁ་	ཁ་	PRON
ན་	ནས་	PART
སི་	སི་	OTHER
སྒྲ་	སྒྲ་	NOUN
དང་	དང་	NO_POS
བཅའ་	བཅའ་	VERB
ཏེ་	སྟེ་	PART
བརྔུབས་	བརྔུབས་	NO_POS
ཏེ་	སྟེ་	PART
སྣ་	སྣ་	NOUN
ན་	ནས་	PART
ཕྱི་	ཕྱི་	OTHER
གཏོང་བ་	གཏོང་བ་	VERB
ཡིན་	ཡིན་	NO_POS
ལ་	ལ་	PART
།		PUNCT
གཉིས་པ་	གཉིས་པ་	NUM
ནི་	ནི་	NO_POS
ཁ་	ཁ་	PRON
བཙུམས་	བཙུམས་	NO_POS
ཏེ་	སྟེ་	PART
།		PUNCT
རླུང་	རླུང་	NOUN
སྣ་	སྣ་	NOUN
ན་	ནས་	PART
འབྱུང་	འབྱུང་	VERB
འཇུག་བྱེད་པ་	འཇུག་བྱེད་པ་	NO_POS
འོ་	གོ་	PART
། །		PUNCT
གསུམ་པ་	གསུམ་པ་	NUM
ནི་	ནི་	NO_POS
རླུང་	རླུང་	NOUN
སྣ་	སྣ་	NOUN
ན་	ནས་	PART
བརྔུབས་	བརྔུབས་	NO_POS
ཏེ་	སྟེ་	PART
།		PUNCT
ཁ་	ཁ་	PRON
ན་	ནས་	PART
ཕུ་	ཕུ་	NOUN
འི་	གི་	PART
སྒྲ་	སྒྲ་	NOUN
དང་	དང་	NO_POS
བཅས་པ་	བཅས་པ་	VERB
ས་	གིས་	PART
ཕྱི་	ཕྱི་	OTHER
གཏོང་བ་	གཏོང་བ་	VERB
འོ་	གོ་	PART
། །		PUNCT
